127.0.0.1, 2020-06-16 21:01:18, GET, /, HTTP/1.1, 303, 0.007995
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/default/index, HTTP/1.1, 200, 1.450849
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002997
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002997
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001998
 0.001998
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:19, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-06-16 21:01:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001001
127.0.0.1, 2020-06-16 21:01:33, GET, /examples/default/index, HTTP/1.1, 200, 0.012990
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.003997
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002997
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002996
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001997
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001997
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.010993
127.0.0.1, 2020-06-16 21:01:34, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:01:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.026981
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/default/site, HTTP/1.1, 303, 0.194881
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/default/index, HTTP/1.1, 200, 0.065958
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.003997
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2020-06-16 21:01:41, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002998
